,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
144,Brawlhalla,779625570,33840,564.0,1.5452054794520549,162409,23038,910064,650440,11433307,True,False,English
145,ElmiilloR,777452160,128910,2148.5,5.8863013698630136,45726,6030,644292,353498,23158917,True,False,Spanish
146,녹두로 (nokduro),774409620,152040,2534.0,6.942465753424657,23890,5093,210893,106565,13977927,True,False,Korean
147,dakotaz,773708220,133035,2217.25,6.074657534246575,23656,5815,4717208,519685,16729994,True,False,English
148,Xayoo_,767202915,89730,1495.5,4.097260273972603,35379,8549,697231,277670,16304821,True,False,Polish
149,Tubbo,757948680,62955,1049.25,2.8746575342465754,187610,12039,2119402,1622803,16307814,True,False,English
150,Ninja,755540010,36570,609.5,1.66986301369863,110102,20659,16648291,1700596,30558146,True,False,English
151,WePlayEsport_RU,752586030,73875,1231.25,3.3732876712328768,115737,10187,346934,210804,23365543,True,False,Russian
152,蝦愛橘子 (shuteye_orange),752274480,309690,5161.5,14.14109589041096,8312,2428,92156,21390,17972552,True,True,Chinese
153,Locklear,751845915,114645,1910.75,5.234931506849315,23308,6557,1126701,547420,21559017,True,False,French
154,EWROON,744293115,100860,1681.0,4.605479452054794,25012,7378,667950,315871,17617115,True,False,Polish
155,Thijs,740868495,106050,1767.5,4.842465753424658,30800,6985,769695,38509,16918504,True,False,English
156,Nmplol,740674980,73095,1218.25,3.3376712328767124,56097,10132,2988857,226916,12951073,True,False,English
157,Amar,736756515,99780,1663.0,4.556164383561644,43841,7383,776946,393353,16370566,True,False,German
158,jukes,736680300,95640,1594.0,4.367123287671233,23936,7702,1466109,386321,22629322,True,False,Portuguese
159,우왁굳 (woowakgood),732657855,159015,2650.25,7.260958904109589,15918,4606,660187,200007,21157412,True,False,Korean
160,Destiny,723747735,164835,2747.25,7.526712328767124,29438,4390,634751,103408,9274294,False,True,English
161,Greekgodx,722451345,120660,2011.0,5.50958904109589,45741,5986,1527217,491187,16133370,True,True,English
162,ClassyBeef,719736120,324255,5404.25,14.806164383561644,11355,2219,139141,76848,7662363,False,True,English
163,RatedEpicz,719200920,178590,2976.5,8.154794520547945,14758,4026,164686,64124,8631016,True,True,English
164,Method,708788595,212295,3538.25,9.693835616438356,84681,3338,387863,70454,17122036,True,False,English
165,JohnPitterTV,694818075,520335,8672.25,23.75958904109589,4148,1334,333984,231605,34469430,True,False,Portuguese
166,wtcN,693710475,82710,1378.5,3.776712328767123,73861,8386,2175884,720912,33554045,True,True,Turkish
167,Amouranth,690959055,227790,3796.5,10.401369863013699,13495,3032,1925927,590906,52462524,True,False,English
168,dogdog,686632515,112860,1881.0,5.153424657534247,30962,6083,613484,24970,14394376,True,False,English
169,RATIRL,679495200,138150,2302.5,6.308219178082192,14480,4917,497172,208740,14530357,True,True,English
170,limit_maximum,677470815,93855,1564.25,4.285616438356165,156649,7218,238777,146497,12993458,True,False,English
171,lilypichu,673768545,60840,1014.0,2.778082191780822,88174,11074,1954217,990139,23248222,True,False,English
172,itsHafu,671604780,137235,2287.25,6.266438356164383,66992,4893,1202318,363092,26391221,True,False,English
173,RduLIVE,668568855,139590,2326.5,6.373972602739726,11854,4789,263254,58893,9321771,True,False,English
174,Jahrein,667743570,61245,1020.75,2.7965753424657533,31474,10902,1526026,271250,21035282,True,False,Turkish
175,39daph,665831325,123810,2063.5,5.653424657534247,35342,5377,755446,456177,11946656,True,False,English
176,Perxitaa,662059395,63420,1057.0,2.8958904109589043,62702,10438,1500299,1247805,18204667,True,False,Spanish
177,EmadGG,661207410,153840,2564.0,7.024657534246575,67732,4297,1006769,812541,13834871,True,False,English
178,scump,651752280,79065,1317.75,3.6102739726027395,79976,8242,1069356,331886,10675742,True,False,English
179,Flashpoint,650682240,32760,546.0,1.4958904109589042,77708,19861,236434,235938,58004508,True,False,English
180,김진우 (jinu6734),650282265,126960,2116.0,5.7972602739726025,13825,5121,297357,84138,11074020,False,False,Korean
181,老皮 (mobilmobil),649130445,117315,1955.25,5.3568493150684935,16497,5532,458615,31995,21334653,True,True,Chinese
182,Shlorox,646544460,125085,2084.75,5.711643835616439,21757,5168,365689,60973,13869020,True,False,German
183,mistermv,646355925,81165,1352.75,3.706164383561644,55052,7962,600999,184672,17064857,True,True,French
184,JonVlogs,646232895,244065,4067.75,11.144520547945206,21617,2647,791139,571099,9241799,True,False,Portuguese
185,김도 (kimdoe),646116360,141330,2355.5,6.453424657534247,11759,4571,297153,16350,16965375,True,True,Korean
186,Ponce,644325345,137190,2286.5,6.264383561643836,29654,4696,398161,289204,21685272,True,True,French
187,relaxing234,641065155,66765,1112.75,3.0486301369863016,21140,9601,301592,100795,17806643,True,False,Chinese
188,Faker,638842065,21375,356.25,0.976027397260274,55214,29886,3143203,908251,36693780,True,False,Korean
189,악어 (jdm2088),637391820,54990,916.5,2.510958904109589,65622,11590,309572,156647,8135880,True,False,Korean
190,Llobeti4,626350995,112815,1880.25,5.151369863013699,37469,5551,1103061,898596,17278722,True,False,Spanish
191,UberHaxorNova,625831170,179490,2991.5,8.195890410958905,7808,3486,451460,67852,7323598,True,False,English
192,餐餐自由配 (blusewilly_retry),625309395,100695,1678.25,4.597945205479452,17585,6209,388899,38538,18944769,True,False,Chinese
193,Tumblurr,623446530,101205,1686.75,4.6212328767123285,25281,6159,581030,368423,7401342,True,False,Italian
194,Kitboga,618752310,76935,1282.25,3.513013698630137,19358,8042,864417,280903,7865055,True,False,English
195,Sfory,616632060,81150,1352.5,3.7054794520547945,75219,7598,443831,433879,12945796,True,False,Russian
196,TwitchRivals,615581985,37755,629.25,1.723972602739726,121816,16304,1528972,1003494,91903166,True,False,English
197,Klean,615008475,168465,2807.75,7.692465753424657,101124,3650,334428,159509,8256275,True,True,English
198,IzakOOO,614321220,120690,2011.5,5.510958904109589,43050,5089,1528687,295027,19454516,True,False,Polish
199,DansGaming,613510035,177735,2962.25,8.115753424657534,56482,3451,824994,23969,18173724,True,False,English
200,CasinoDaddy,611539605,302670,5044.5,13.82054794520548,6524,2019,163673,34299,7320054,False,True,English
201,Gladd,610976910,176355,2939.25,8.052739726027397,111346,3463,407061,164984,10571693,True,True,English
202,CDNThe3rd,610950375,134760,2246.0,6.153424657534247,44336,4533,1994447,91719,14865433,True,False,English
203,imls,608504655,81825,1363.75,3.7363013698630136,42594,7436,461673,205552,11277707,True,False,English
204,C_a_k_e,608217870,120165,2002.75,5.486986301369863,18443,5060,329136,52983,20049461,True,False,Russian
205,SkipNhOLIVE,607018395,507105,8451.75,23.155479452054795,13255,1196,439182,287429,6788936,True,False,Portuguese
206,Chess,600509475,81030,1350.5,3.7,83666,7410,431527,230700,83906353,True,False,English
207,blxckoutz,599385555,321480,5358.0,14.67945205479452,28651,1864,882871,671105,15366118,True,False,Portuguese
208,AustinShow,589701690,15885,264.75,0.7253424657534246,141162,37122,1222087,649857,10501479,True,True,English
209,Vinesauce,589622655,91380,1523.0,4.1726027397260275,14032,6451,496834,104245,6248452,True,True,English
210,狂暴小建 (a541021),585396300,171285,2854.75,7.821232876712329,9312,3417,214492,17639,20564824,True,False,Chinese
211,FENGRUSH,583955940,110385,1839.75,5.0404109589041095,16128,5289,103309,25098,47719606,True,False,English
212,SPYGEA,582740940,149625,2493.75,6.832191780821918,23782,3894,282048,121138,14263658,True,False,Japanese
213,H2P_Gucio,580272045,159225,2653.75,7.27054794520548,16024,3643,241637,69161,13791977,True,False,Polish
214,Ramee,576835965,169800,2830.0,7.7534246575342465,29796,3396,159762,69663,7857847,True,False,English
215,Anton,576668400,138195,2303.25,6.31027397260274,137531,4172,259966,105875,5921459,True,True,English
216,울프 (lol_woolf),570939270,51210,853.5,2.3383561643835615,73800,11148,326239,121145,10244598,True,False,Korean
217,pokelawls,569837370,134340,2239.0,6.134246575342465,25755,4241,813450,239951,8383144,True,True,English
218,Homyatol,569047890,87165,1452.75,3.98013698630137,26274,6527,657564,482582,9942385,True,True,Italian
219,Emongg,567719280,205515,3425.25,9.384246575342466,75112,2761,576011,202780,13684752,True,False,English
220,살인마협회장 (sal_gu),567049410,136020,2267.0,6.210958904109589,16252,4168,207655,73862,10010544,True,False,Korean
221,接接 (godjj),566776440,121965,2032.75,5.5691780821917805,12461,4646,339832,17480,20045990,True,False,Chinese
222,imaqtpie,565762215,168885,2814.75,7.711643835616439,26087,3349,2662706,43314,12074810,True,False,English
223,PapoMC,563412525,45630,760.5,2.0835616438356164,146890,12346,1474028,1430612,17551706,True,True,Spanish
224,Mongraal,562939020,23805,396.75,1.086986301369863,127720,23647,3789167,1787800,23500172,True,False,English
225,SkipNhO,561999255,136515,2275.25,6.233561643835617,23408,4116,1145904,296849,14748527,True,False,Portuguese
226,PietSmiet,559635975,101430,1690.5,4.631506849315069,125228,5517,654927,156294,16880777,True,False,German
227,RiotGamesRU,556386915,29295,488.25,1.3376712328767124,109522,18992,197791,99803,10074211,True,False,Russian
228,B0aty,554256300,147870,2464.5,6.752054794520548,22375,3747,535866,52249,8801573,True,True,English
229,aXtLOL,553903890,102915,1715.25,4.699315068493151,25340,5381,815076,211565,12909237,True,False,Portuguese
230,BastiGHG,552946065,157740,2629.0,7.2027397260273975,16135,3504,662108,284991,10472469,True,False,German
231,Smurfdomuca,549249000,124035,2067.25,5.663698630136986,26614,4427,378665,362380,11849502,True,False,Portuguese
232,ShivFPS,549152040,187755,3129.25,8.573287671232876,12076,2924,458927,311825,10682927,True,False,English
233,alexelcapo,547087845,74775,1246.25,3.414383561643836,74670,7316,756998,239609,18337124,True,False,Spanish
